StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       28,      01,   200907,   5.74,   69.8,   1.79,   1.79,   1.49,   1.79,    157,      8,    .57,   1.45,   1.38,    .07,    .26,    .27,    .51,   59.1,   80.6,
       28,      01,   200908,   6.82,   72.9,   2.33,   2.33,   2.18,   2.33,    248,      0,   1.05,   1.02,   1.62,    .95,    .76,    .85,    .61,   63.2,   82.6,
       28,      01,   200909,   2.48,   62.7,   1.74,   1.74,  -1.04,   1.23,     32,    101,   -.63,    .34,    .52,    .99,    .04,    .31,    .72,   52.7,   72.7,
       28,      01,   200910,   5.41,   51.1,   2.39,   2.39,   2.48,   2.39,      0,    431,    .86,    .15,    .67,   1.34,    .47,    .55,    .65,   41.6,   60.6,
       28,      01,   200911,   1.49,   47.5,   1.29,   1.29,  -2.56,    .12,      0,    525,  -1.31,   -.03,   -.52,     .9,    .48,     .4,    .48,   38.9,   56.2,
       28,      01,   200912,   6.49,   31.8,   2.13,   2.13,    2.9,   2.13,      0,   1029,   1.49,    .27,    .72,    .76,   1.13,    .39,    .59,   23.8,   39.7,
       28,      01,   201001,    2.6,     29,   1.64,   1.64,    -.8,   1.21,      0,   1116,   -.45,    .84,    .02,    .44,   1.13,    .38,    .64,   20.8,   37.2,
       28,      01,   201002,   4.14,   30.1,   2.01,   2.01,   1.61,   2.01,      0,    977,    .91,    .21,   1.09,    .25,   1.22,    .82,    .44,   23.3,   36.9,
       28,      01,   201003,   8.84,   44.6,   3.33,   3.33,    4.6,   3.33,      0,    632,    2.5,   2.37,   1.89,   1.55,   1.53,   1.67,    .74,   34.5,   54.7,
       28,      01,   201004,   2.93,   54.2,   -.61,   2.38,  -1.83,   1.59,      0,    324,   -.48,   1.47,   1.66,    1.1,   1.19,   1.64,     .7,     41,   67.3,
       28,      01,   201005,   3.41,   62.7,   -.98,   1.71,  -1.29,    .38,     47,    118,   -.23,   -.58,    1.1,   1.41,    .78,   1.49,    .63,   50.8,   74.6,
       28,      01,   201006,   2.68,   71.5,  -1.51,     .9,  -1.91,  -1.13,    199,      0,   -.75,   -.73,   -.99,     .6,    .81,    .86,    .61,   59.8,   83.1,
       28,      01,   201007,   4.06,   76.5,  -1.82,  -1.82,  -1.39,  -1.82,    356,      0,   -.22,   -.68,   -.72,    .57,    .41,    .59,    .62,   64.8,   88.2,
       28,      01,   201008,   3.25,   72.8,  -2.27,  -2.27,  -1.92,  -2.27,    245,      0,   -.45,   -.53,   -.88,    .04,    .53,    .12,     .7,   62.1,   83.5,
       28,      01,   201009,   3.36,   66.8,  -2.47,  -2.47,   -1.3,  -2.47,     91,     37,   -.12,    -.5,   -.58,  -1.16,   -.02,     .3,    .36,   55.2,   78.5,
       28,      01,   201010,   5.97,   53.9,    .52,  -1.69,   1.56,   -.96,      0,    348,   1.06,    .59,     .2,    -.4,    .49,    .39,    .57,   43.3,   64.6,
       28,      01,   201011,   2.44,     43,   -.49,  -2.01,  -1.48,  -1.86,      0,    660,   -.61,    .48,    .16,   -.51,    .11,    .54,    .51,   33.2,   52.8,
       28,      01,   201012,   3.79,   29.1,    .09,  -1.71,    .28,  -1.37,      0,   1113,    .09,   -.45,     .4,   -.27,   -.69,    .18,    .29,   21.5,   36.6,
