StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX,Wet/Dry Period
28,1,200303,4.36,38.7,1.53,1.53,0.42,1.53,0,815,0.43,0.88,0.52,1.3,0.46,0.77,-0.8,26.8,50.6,1
28,1,200304,2.59,46.7,0.95,0.95,-1.27,0.21,0,549,-0.75,-0.18,0.22,0.46,0.73,0.52,-0.72,36.1,57.3,0
28,1,200305,3.98,56.3,0.84,0.84,-0.04,0.04,6,276,0.1,-0.46,-0.15,0.21,0.89,0.34,-0.76,46.2,66.2,0
28,1,200306,9.29,65.5,2.72,2.72,5.91,2.72,63,48,2.18,1.67,1.18,1.18,1.54,0.89,-0.44,55.7,75.3,1
28,1,200307,3.76,72.8,2.25,2.25,-0.58,1.94,242,0,-0.38,1.36,1.11,1.02,1,1.16,-0.39,61.9,83.6,1
28,1,200308,5.93,73.4,2.36,2.36,1.02,2.36,260,0,0.76,0.25,1.37,0.96,1.05,1.39,-0.13,63.5,83.3,1
28,1,200309,7.89,64.7,3.19,3.19,3.23,3.19,58,67,1.49,1.4,1.04,1.42,1.47,1.65,0.24,55.6,73.8,2
28,1,200310,5.84,50.7,3.93,3.93,3.19,3.93,0,443,1.01,1.7,1.58,1.88,1.81,1.63,0.72,39.5,61.8,2
28,1,200311,4.48,46.3,3.61,3.61,0.27,3.61,0,561,0.56,1.04,1.72,1.97,1.73,1.72,1.01,37.2,55.4,2
28,1,200312,6.12,33.3,4.07,4.07,2.49,4.07,0,983,1.31,1.26,1.47,1.7,1.81,1.82,1.27,25,41.6,3
28,1,200401,2.19,21.8,3.24,3.24,-1.23,2.71,0,1339,-0.81,0.55,0.72,1.73,1.88,1.78,1.24,14.1,29.4,2
28,1,200402,2.42,30.6,2.68,2.68,-0.67,1.84,0,963,-0.38,-0.98,0.28,1.57,1.88,1.59,1.35,21.1,40,1
28,1,200403,2.91,40.9,1.95,1.95,-1.36,0.58,0,747,-0.51,-0.72,-1.22,0.66,1.14,1.43,1.31,31.1,50.7,1
28,1,200404,4.94,50.4,1.98,1.98,0.67,0.85,0,438,0.73,0.19,-0.11,0.42,1.45,1.69,1.31,39.3,61.4,1
28,1,200405,4.64,63.9,1.66,1.66,-0.33,0.43,64,98,0.44,0.74,0.36,0.37,1.36,1.79,1.35,51.9,75.9,1
28,1,200406,3.19,67,1.24,1.24,-0.77,-0.22,88,28,-0.38,0.02,0.31,-0.47,0.62,1.04,1.19,56.2,77.8,0
28,1,200407,8.47,71,2.3,2.3,3.58,1.89,191,0,1.64,0.97,0.93,0.68,0.86,1.65,1.83,61,80.9,1
28,1,200408,4.97,70.9,2.3,2.3,0.7,2.06,190,7,0.4,1.23,0.86,0.81,0.78,1.46,2.01,61.1,80.6,1
28,1,200409,8.67,65.7,3.37,3.37,3.92,3.37,73,52,1.7,1.36,1.82,1.63,1.12,1.45,2.21,55.4,76,2
28,1,200410,1.74,51.9,2.63,2.63,-1.18,2.1,0,406,-0.94,0.89,0.81,1.16,0.99,1.06,1.82,42.1,61.6,1
28,1,200411,4.38,44.7,2.46,2.46,0.3,2,0,609,0.51,-0.32,0.93,1.18,1.16,1.13,1.88,34.9,54.4,1
28,1,200412,3.97,32.8,2.35,2.35,0.43,2,0,998,0.19,0.42,-0.23,1.41,1.25,0.84,1.67,23.9,41.7,1
28,1,200501,4.99,26.7,2.68,2.68,1.73,2.68,0,1187,1.08,0.79,0.88,1.08,1.33,1.17,1.74,18.4,35.1,1
28,1,200502,2.54,31.9,2.24,2.24,-0.51,1.96,0,927,-0.27,0.6,0.54,1.04,1.23,1.19,1.65,22,41.9,1
28,1,200503,4.32,34.7,2.25,2.25,0.74,2.22,0,939,0.41,0.11,0.69,0.23,1.54,1.37,1.67,25.3,44.1,1
28,1,200504,4.88,51.6,2.18,2.18,0.47,2.18,0,402,0.7,0.68,0.41,0.83,1.07,1.33,1.76,38.1,65,1
28,1,200505,1.75,55.5,-0.65,1.3,-1.94,0.37,0,299,-1.38,-0.44,-0.14,0.2,0.68,0.96,1.74,43.4,67.7,0
28,1,200506,3.58,71.4,-0.9,0.85,-0.96,-0.51,196,0,-0.13,-1.13,-0.54,0,-0.15,1.03,1.28,60,82.8,0
28,1,200507,3.94,74.3,-1.18,-1.18,-1.13,-1.18,288,0,-0.28,-0.38,-0.99,-0.58,0.02,0.37,1.35,63.9,84.7,0
28,1,200508,1.92,74.9,-2.16,-2.16,-3.3,-2.16,307,0,-1.61,-1.12,-1.06,-0.98,-0.62,-0.03,1.04,64.2,85.6,-1
28,1,200509,1.6,68.5,-2.95,-2.95,-3.02,-2.95,125,20,-1.36,-2.01,-1.78,-1.73,-1.1,-0.97,0.45,55.5,81.4,-1
28,1,200510,14.18,54.3,3.26,3.26,9.78,3.26,0,336,3.09,2.14,1.25,0.4,0.5,0.75,1.19,45.8,62.9,2
28,1,200511,4.21,45,2.97,2.97,0.13,2.96,0,600,0.43,2.84,2.1,0.88,0.65,0.77,1.18,33.6,56.3,1
28,1,200512,3.6,29.6,2.69,2.69,0.1,2.66,0,1097,-0.03,0.21,2.61,0.94,0.56,0.72,0.93,20.8,38.4,1
28,1,200601,5.43,36,3.07,3.07,1.97,3.07,0,899,1.3,0.82,0.85,1.47,0.69,0.76,1.14,26.4,45.7,2
28,1,200602,1.98,32.2,-0.42,2.34,-1.26,1.76,0,918,-0.82,0.54,0.38,1.96,0.89,0.68,1.1,22.8,41.6,1
28,1,200603,0.88,39.7,-1.51,0.96,-3.41,-1.03,0,784,-2.48,-2.84,-0.81,1.76,0.52,0.23,0.96,29.6,49.8,0
28,1,200604,3.96,51.6,-1.51,0.7,-0.46,-1.34,0,402,0.2,-1.31,-1.56,-0.27,0.61,0.06,0.83,38.5,64.8,0
28,1,200605,3.52,60.1,-1.65,-1.65,-0.88,-1.65,22,174,-0.16,-0.06,-1.22,-0.59,1.03,0.28,0.75,48.1,72,-1
28,1,200606,8.99,68.5,1.74,1.74,5.21,1.74,120,15,2.09,1.47,1.34,0.64,1.97,1.02,1.27,58.8,78.2,1
28,1,200607,4.63,75.1,1.54,1.54,-0.05,1.44,313,0,0.06,1.51,1.14,0.11,0.51,1.08,0.99,64.7,85.4,1
28,1,200608,4.39,71.8,1.34,1.34,-0.12,1.11,215,0,0.15,0.05,1.17,0.28,0.36,1.37,0.98,61.1,82.6,0
28,1,200609,5.09,62.3,1.53,1.53,0.99,1.53,27,108,0.62,0.39,0.32,0.99,0.58,1.65,0.63,52.6,71.9,1
28,1,200610,6.64,51.6,2.68,2.68,3.92,2.68,0,415,1.27,1.23,0.95,1.4,0.71,0.9,1.07,40.4,62.7,1
28,1,200611,5.54,47.6,2.79,2.79,1.14,2.79,0,522,1.07,1.52,1.51,1.72,1.12,1.13,1.18,38.7,56.5,1
28,1,200612,2.32,39.8,1.97,1.97,-1.6,1.24,0,781,-0.86,0.23,1.01,0.8,1.27,0.95,1,30.3,49.3,1
28,1,200701,3.2,33.8,1.68,1.68,-0.25,0.81,0,967,0.02,-0.67,0.18,0.8,1.24,0.65,0.83,25.4,42.1,1
28,1,200702,1.77,24.5,1,1,-1.53,-0.49,0,1134,-1.07,-0.77,-1.17,0.67,1.19,0.62,0.75,16.4,32.7,0
28,1,200703,4.33,38,1.05,1.05,0.45,-0.22,0,837,0.41,-0.28,-0.33,0.63,0.54,1.07,0.77,26.2,49.8,0
28,1,200704,9.43,46.7,2.82,2.82,5.66,2.82,0,549,2.48,1.98,1.55,1.12,1.45,1.7,1.07,36.6,56.9,1
28,1,200705,1.62,61.6,1.61,1.61,-2.76,0.41,35,140,-1.49,1.21,1.15,0.25,1.13,1.48,1.1,47.6,75.5,1
